OG0004000	GO:0005856,GO:0031032,GO:0008092
OG0004131	GO:0003677,GO:0003916,GO:0005694,GO:0008270,GO:0006265,GO:0003917,GO:0005634,GO:0006281,GO:0006310,GO:0031422
OG0004045	GO:0000338,GO:0008180,GO:0010387
OG0005010	GO:0005515,GO:0000724,GO:0043130
OG0004046	GO:0046983,GO:0003677,GO:0006355
OG0004132	GO:0140326,GO:0000166,GO:0005215,GO:0005524,GO:0016020,GO:0016887,GO:0005886,GO:0045332,GO:0000287,GO:0015914
OG0004060	GO:0046872,GO:0003676,GO:0003723,GO:0005634
OG0004125	GO:0003723,GO:0003676,GO:0007283,GO:0030719,GO:0034587,GO:0043186
OG0003340	GO:0016020,GO:0034975,GO:0072546
OG0003405	GO:0005975
OG0003326	GO:0007156,GO:0016020,GO:0005509,GO:0007155,GO:0005886,GO:0098742,GO:0007275,GO:0008013,GO:0016342,GO:0016477,GO:0045296,GO:0098609
OG0004053	GO:0016020,GO:0140359,GO:0005524,GO:0016887,GO:0005886,GO:0042626,GO:0055085
OG0004039	GO:0005794,GO:0005815,GO:0005929,GO:0030992,GO:0042073,GO:1905515
OG0004211	GO:0005515,GO:0005886,GO:0016477,GO:0030027,GO:0034315
OG0003319	GO:0005515,GO:0003682,GO:0005737
OG0003412	GO:0005634,GO:0035861,GO:0005515
OG0003333	GO:0006355,GO:0000118,GO:0000122,GO:0000785,GO:0003714,GO:0070822
OG0003413	GO:0005515,GO:0005634,GO:0010468
OG0004047	GO:0008017,GO:0031122,GO:0005737,GO:0005813,GO:0005815,GO:0030705,GO:0051959,GO:0005515
OG0003327	GO:0005096,GO:0051056,GO:0090630
OG0004140	GO:0005869
OG0004061	GO:0006120
OG0004126	GO:0005794,GO:0006024,GO:0016311,GO:0016791,GO:0050650
OG0004133	GO:0015031,GO:0005093,GO:0007264,GO:0005092,GO:0005737,GO:0016192
OG0005011	GO:0003924,GO:0005525,GO:0005246,GO:0005886
OG0003406	GO:0030121,GO:0006886,GO:0016192,GO:0030117,GO:0005794
OG0004212	GO:0097250
OG0005004	GO:0005085,GO:0005515,GO:0005886,GO:0006468,GO:0007156,GO:0008046,GO:0030424,GO:0043025,GO:0050808,GO:0004672,GO:0005524
OG0004119	GO:0003677,GO:0005634,GO:0006260,GO:0006281,GO:0006310,GO:0000724,GO:0003684,GO:0003697,GO:0005662,GO:0006284,GO:0006289,GO:0006298,GO:0035861
OG0004205	GO:0016491,GO:0016020
OG0003334	GO:0033617,GO:0005743,GO:0005739
OG0003421	GO:0004298,GO:0005839,GO:0051603,GO:0005737
OG0003328	GO:0005515
OG0003335	GO:0004812,GO:0005524,GO:0006418,GO:0004825,GO:0006431,GO:0000166,GO:0005829,GO:0017101
OG0004055	GO:0005737,GO:0005739,GO:0005874,GO:0006897,GO:0008017,GO:0016020,GO:0016559,GO:0048312,GO:0003924,GO:0005525,GO:0000266
OG0004220	GO:0042981,GO:0005515,GO:0002039,GO:0005634
OG0003500	GO:0019901,GO:0043406,GO:0090443,GO:1903358
OG0004127	GO:0008270,GO:0007165,GO:0042981,GO:0005515,GO:0005164,GO:0031625,GO:0043122,GO:0098802
OG0003342	GO:0008061,GO:0005576
OG0004134	GO:0005515,GO:0043041
OG0003407	GO:0004712,GO:0004672,GO:0005524,GO:0006468,GO:0004674,GO:0005634,GO:0005737,GO:0005856,GO:0018105,GO:0018107
OG0003414	GO:0004653,GO:0005794,GO:0006493
OG0004213	GO:0005942,GO:0046854,GO:0046935,GO:0035556
OG0004221	GO:0003723,GO:0006396,GO:0000387,GO:0005681
OG0005006	GO:0007264,GO:0035556,GO:0005085,GO:0005886,GO:0007265,GO:0007165
OG0003329	GO:0005794,GO:0006810,GO:0016020,GO:0042147
OG0003336	GO:0000398,GO:0005684,GO:0008380,GO:0071014
OG0004070	GO:0005515
OG0003422	GO:0005737,GO:0003676,GO:0008270
OG0003343	GO:0005085,GO:0007264,GO:0005829,GO:0006892,GO:0008270,GO:0016020
OG0004049	GO:0005515,GO:0046872,GO:0004842,GO:0016567,GO:0008270,GO:0005737
OG0004300	GO:0006357,GO:0030182,GO:0000981,GO:0006355,GO:0003677,GO:0000977,GO:0005634
OG0005013	GO:0005085,GO:0055037,GO:0005524,GO:0140662
OG0004142	GO:0005789,GO:0015031,GO:0016020
OG0003501	GO:0000076,GO:0003677,GO:0006281,GO:0009649,GO:0031298,GO:0043111,GO:0048478
OG0004056	GO:0030833,GO:0034314,GO:0005885,GO:0015629
OG0004128	GO:0000727,GO:0000811,GO:0005634,GO:0006260
OG0003408	GO:0005737,GO:0051880,GO:0003676,GO:0005524,GO:0002151,GO:0003678,GO:0003723,GO:0003724,GO:0004386,GO:0005622,GO:0005634
OG0004214	GO:0005525,GO:0003924,GO:0003746,GO:0006414
OG0003350	GO:0005737,GO:0007268,GO:0007409,GO:0008088,GO:0030424,GO:0030425,GO:0045202,GO:0048489
OG0004135	GO:0016020,GO:0072657
OG0004222	GO:0002183,GO:0003743,GO:0005085,GO:0005851,GO:0032045,GO:0009058
OG0003409	GO:0005829,GO:0016020
OG0004143	GO:0004601,GO:0006979,GO:0020037,GO:0016491,GO:0005509,GO:0005886,GO:0006952,GO:0016175,GO:0042554,GO:0043020
OG0003344	GO:0005272,GO:0005886,GO:0006814,GO:0015280,GO:0016020,GO:0035725
OG0004129	GO:0005515
OG0003502	GO:0004812,GO:0005524,GO:0006418,GO:0000166,GO:0006429,GO:0004823,GO:0002161
OG0004071	GO:0005576,GO:0030414
OG0003423	GO:0005789,GO:0006487,GO:0006490,GO:0016758,GO:0042281
OG0005100	GO:0005637,GO:0006629,GO:0071763
OG0003430	GO:0009922,GO:0016020,GO:0005789,GO:0019367,GO:0030148,GO:0034625,GO:0034626,GO:0042761
OG0005021	GO:0006002,GO:0016208,GO:0030388,GO:0005524,GO:0042802,GO:0005737,GO:0048029,GO:0006096,GO:0061621,GO:0003872,GO:0070095,GO:0005945
OG0004215	GO:0007399,GO:0071565
OG0005007	GO:0071363,GO:0004672,GO:0006468,GO:0004675,GO:0005524,GO:0016020,GO:0004674,GO:0005886,GO:0007178,GO:0043235,GO:0070724
OG0004136	GO:0031929,GO:0031931,GO:0038202,GO:0071230,GO:0005515,GO:0005737,GO:0009267,GO:0010506,GO:0030307,GO:0030674
OG0004150	GO:0004674,GO:0005524,GO:0006468,GO:0003824
OG0003416	GO:0043409,GO:0016311,GO:0006470,GO:0005737,GO:0008138,GO:0033549
OG0004301	GO:0006397,GO:0003723,GO:0000398,GO:0000932,GO:0005688,GO:0046540,GO:0071011,GO:0071013,GO:1990726
OG0005014	GO:0042147,GO:0015031,GO:0030906,GO:0005770,GO:0006886,GO:0030904
OG0003337	GO:0005509,GO:0005813,GO:0005815,GO:0034454,GO:0072393
OG0003351	GO:0071025,GO:0070481,GO:0070966,GO:0005737,GO:0032790,GO:0070651
OG0005008	GO:0001734,GO:0005634,GO:0008168,GO:0036396,GO:0080009,GO:0001510
OG0004058	GO:0005245,GO:0005891
OG0003503	GO:0000398,GO:0046540,GO:0005681,GO:0005682
OG0004230	GO:0002181,GO:0003723,GO:0003735,GO:0005840,GO:0006412
OG0003338	GO:0005515
OG0004144	GO:0005524
OG0004151	GO:0007165,GO:0001664,GO:0002031,GO:0005737
OG0004223	GO:0003824,GO:0051536,GO:0006400,GO:0016740,GO:0051539,GO:0035596,GO:0005783,GO:0035598,GO:0035600
OG0005101	GO:0007399,GO:0043547,GO:0090630,GO:2000431,GO:0005085,GO:0000281,GO:0005096,GO:0005634,GO:0005737,GO:0005938
OG0003424	GO:0003724,GO:0003676,GO:0005524
OG0003510	GO:0005524,GO:0006418,GO:0000166,GO:0004812,GO:0005737,GO:0004815,GO:0005739,GO:0006422,GO:0016874,GO:0003676
OG0005015	GO:0043130,GO:0005515
OG0003417	GO:0005992,GO:0070413,GO:0003824,GO:0003825,GO:0004805,GO:0005829
OG0004216	GO:0002144,GO:0005739,GO:0000049,GO:0002098,GO:0034227,GO:0008033,GO:0002143
OG0004072	GO:0016706
OG0004209	GO:0000398,GO:0003723,GO:0005684,GO:0070274
OG0003352	GO:0051018,GO:0005739,GO:0005886,GO:0008104
OG0003345	GO:0005515,GO:0003723,GO:0005730,GO:0032040,GO:0042254,GO:0045943,GO:2000234
OG0004065	GO:0000149,GO:0000323,GO:0005768,GO:0035493
OG0004231	GO:0005078,GO:0005737,GO:0008432,GO:0016192,GO:0019894,GO:0030159,GO:0005515
OG0003346	GO:0016589,GO:0071339
OG0004152	GO:0035591,GO:0005515,GO:0005737,GO:0007167,GO:0016477,GO:0030971
OG0004138	GO:0005515,GO:0016020,GO:0055085,GO:0015347,GO:0016323,GO:0043252
OG0003281	GO:0004867,GO:0005615
OG0003511	GO:0005525,GO:0000287,GO:0003924,GO:0005739
OG0003418	GO:0016020,GO:0005802,GO:0006888
OG0004303	GO:0043531,GO:0045261,GO:0046933,GO:0032559,GO:0005524,GO:0015986,GO:0046034,GO:1902600,GO:0005754
OG0005016	GO:0047631
OG0004080	GO:0005739,GO:0006635,GO:0016507,GO:0006631,GO:0016491,GO:0016616,GO:0070403,GO:0003824,GO:0004300,GO:0016509,GO:0003857
OG0003339	GO:0005737,GO:0042325,GO:0004865
OG0005102	GO:0006814,GO:0015293,GO:0016020,GO:0022857,GO:0055085
OG0004059	GO:0000460,GO:0005634,GO:0003723,GO:0003724,GO:0006401,GO:0003676,GO:0005524
OG0003360	GO:0005829,GO:0007010
OG0004310	GO:0005739,GO:0017148,GO:0043023,GO:0090071
OG0003432	GO:0005515,GO:0005737
OG0005030	GO:0016020,GO:0022857,GO:0055085
OG0005009	GO:0009166,GO:0016787
OG0003354	GO:0031267,GO:0048471,GO:0090630,GO:0005096,GO:0007165,GO:0005515,GO:0005634,GO:0005829,GO:0006913
OG0004160	GO:0016020,GO:0004571,GO:0005509,GO:1904382,GO:0004559,GO:0005783,GO:1904380,GO:0005975
OG0005031	GO:0005385,GO:0016020,GO:0071577,GO:0030001,GO:0046873,GO:0055085
OG0004153	GO:0006357,GO:0016538
OG0003426	GO:0099078
OG0005017	GO:0005515,GO:0005164,GO:0006955,GO:0016020,GO:0005615,GO:0048018
OG0004074	GO:0006508,GO:0008237,GO:0004222,GO:0005886,GO:0016485
OG0004146	GO:0003677,GO:0006355,GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007517,GO:0048468
OG0005110	GO:0003796
OG0003419	GO:0005516,GO:0005964,GO:0005977,GO:0005975
OG0004232	GO:0005871,GO:0007018,GO:0019894,GO:0005515,GO:0005737
OG0003512	GO:0018342,GO:0008318,GO:0004663,GO:0005737,GO:0005968,GO:0018344
OG0005103	GO:0032589,GO:0050808
OG0004304	GO:0005737
OG0004081	GO:0043461,GO:0005739,GO:0033615
OG0003440	GO:0008569,GO:0030286,GO:0005524,GO:0016887,GO:0005858,GO:0007018,GO:0045505,GO:0051959
OG0004139	GO:0005085,GO:0007264,GO:0005886,GO:0007265
OG0003347	GO:0016020,GO:1902936
OG0003433	GO:0008237,GO:0004222,GO:0006508,GO:0005886,GO:0006509,GO:0007219
OG0004311	GO:0003677,GO:0003678,GO:0005524,GO:0006270,GO:0042555,GO:0032508,GO:0006260,GO:0000727,GO:0003697,GO:1902975,GO:0005634,GO:0006268,GO:0006271,GO:0017116,GO:0016887
OG0003361	GO:0016020,GO:0005509,GO:0007156,GO:0005886,GO:0007155
OG0004219	GO:0005524,GO:0016301
OG0003283	GO:0006357,GO:0030154,GO:0043565,GO:0003700,GO:0006355,GO:0000981,GO:0005634
OG0004312	GO:0003688,GO:0005664,GO:0006270,GO:0033314,GO:0003682,GO:0016887,GO:0005524
OG0005104	GO:0003677,GO:0000981,GO:0006355,GO:0006357
OG0003434	GO:0005096,GO:0003924,GO:0005525,GO:0005515,GO:0090630
OG0004161	GO:0007018,GO:0030286,GO:0045505,GO:0051959
OG0004082	GO:0006890,GO:0007030,GO:0017119,GO:0048213
OG0004147	GO:0003755,GO:0000413,GO:0005737,GO:0006457,GO:0016018,GO:0043231
OG0004305	GO:0031965
OG0005025	GO:0005634,GO:0005737,GO:0051726
OG0003513	GO:0007165,GO:0005096,GO:0005622,GO:0032956,GO:0035020,GO:0043547
OG0003348	GO:0004394,GO:0008146,GO:0015014,GO:0015015,GO:0016020
OG0005111	GO:0034727,GO:1990316,GO:0006914,GO:0000045,GO:0000407,GO:0000423,GO:0005829,GO:0034497
OG0003290	GO:0016592,GO:0003712,GO:0006357,GO:0070847
OG0003441	GO:0016409
OG0003355	GO:0006886,GO:0012505,GO:0016055,GO:0017147,GO:0031090,GO:0061355
OG0003362	GO:0015293,GO:0016020,GO:0005313,GO:0005886,GO:0015175,GO:0015501,GO:0015813
OG0003427	GO:0005515
OG0003363	GO:0009306
OG0004313	GO:0006506,GO:0051377,GO:0005789,GO:0051267
OG0003349	GO:0006396,GO:1990904,GO:0003723,GO:0005634,GO:0003676
OG0003291	GO:0004000,GO:0006396,GO:0003723,GO:0008033,GO:0008251
OG0004083	GO:0006355,GO:0003676,GO:0003690,GO:0005759,GO:0006393
OG0005112	GO:0005509
OG0004241	GO:0035621,GO:0008289
OG0003600	GO:0006661,GO:0016020,GO:0016746,GO:0030258,GO:0044233,GO:0071617
OG0004306	GO:0003924,GO:0005525,GO:0003746,GO:0005739,GO:0006414,GO:0070125
OG0005040	GO:0005525
OG0003521	GO:0003676,GO:0003723,GO:0008380,GO:0061574,GO:0071011
OG0005105	GO:0016020,GO:0005044,GO:0005737
OG0004162	GO:0005518,GO:0005886,GO:0007169,GO:0005524,GO:0007275,GO:0006468,GO:0010976,GO:0004672,GO:0033674,GO:0038062,GO:0043235,GO:0051897,GO:0004714
OG0004148	GO:0003723,GO:0003676
OG0005033	GO:0005246,GO:0005525,GO:0005886,GO:0003924
OG0003284	GO:0005802,GO:0031267,GO:0099518
OG0003435	GO:0016020,GO:0005515
OG0004090	GO:0008495,GO:0016020,GO:0005739,GO:0006783,GO:0006784,GO:0016765
OG0003370	GO:0055085,GO:0005524,GO:0016887,GO:0016020,GO:0140359,GO:0005886,GO:0042626
OG0003442	GO:0006487,GO:0008250,GO:0016020
OG0004155	GO:0005515,GO:0005737
OG0003428	GO:0043005
OG0004069	GO:0005634,GO:0006979
OG0005026	GO:0055085,GO:0006862
OG0004091	GO:0005737,GO:0016226,GO:0051536
OG0003601	GO:0005085,GO:0007264,GO:0007165,GO:0005515,GO:0005886,GO:0007265,GO:0016324
OG0004400	GO:0016272,GO:0051082,GO:0005737,GO:0006457
OG0005041	GO:0004843,GO:0016579
OG0003515	GO:0003774,GO:0005524,GO:0016459,GO:0005515,GO:0000146,GO:0004674,GO:0004672,GO:0018105,GO:0030832,GO:0006468,GO:0004713
OG0003357	GO:0005509,GO:0005112,GO:0007219
OG0004307	GO:0005515,GO:0008270
OG0004314	GO:0005515,GO:0007165
OG0004149	GO:0046872
OG0004228	GO:0035325,GO:0043123,GO:0045087,GO:0050830,GO:0070976,GO:0007165,GO:0005515,GO:0002755,GO:0005886,GO:0008063,GO:0034142
OG0005034	GO:0016020,GO:0005794,GO:0016192,GO:0031267
OG0005113	GO:0016714,GO:0004497,GO:0005506,GO:0009072,GO:0004505,GO:0006571,GO:0006559
OG0003443	GO:0005829,GO:0006508,GO:0016920
OG0004170	GO:0045737,GO:0061575,GO:0005675,GO:0006281,GO:0006357,GO:0006289
OG0003285	GO:0008146
OG0004242	GO:0005515,GO:0098609
OG0003450	GO:0006486,GO:0008250
OG0005027	GO:0003924,GO:0005525,GO:0005764,GO:0005770,GO:0008333,GO:0045335,GO:0090385,GO:0005794,GO:0005802,GO:0016192,GO:0031982
OG0005106	GO:0005886,GO:0007605,GO:0016020
OG0004156	GO:0006357,GO:0032784,GO:0003729,GO:0006368,GO:0032044,GO:0006354,GO:0005515,GO:0140673
OG0003364	GO:0005515
OG0003371	GO:0006468,GO:0007095,GO:0004672,GO:0005524,GO:0000086,GO:0004674,GO:0004693,GO:0005634
OG0003429	GO:0009922,GO:0016020,GO:0005789,GO:0019367,GO:0030148,GO:0034625,GO:0034626,GO:0042761
OG0004401	GO:0003743,GO:0005737,GO:0005852
OG0004171	GO:0005509
OG0003437	GO:0005788,GO:0016757,GO:0097363,GO:0097370
OG0004322	GO:0003723,GO:0003676
OG0003602	GO:0005515
OG0005028	GO:0009986,GO:0016020,GO:0016477
OG0004236	GO:0051536,GO:0004174,GO:0005743,GO:0022900
OG0003530	GO:0016020,GO:0005739,GO:0007005
OG0003509	GO:0004144,GO:0019432,GO:0008374,GO:0005789
OG0003358	GO:0003924,GO:0005525
OG0003365	GO:0005737,GO:0005085,GO:0005515
OG0003286	GO:0005737,GO:0007169,GO:0007265,GO:0043410
OG0005121	GO:0006629,GO:0008081
OG0004092	GO:0005732,GO:0006364,GO:0032040,GO:0034457,GO:0005634
OG0005035	GO:0007015,GO:0008064,GO:0031209,GO:0044877,GO:0048870
OG0004164	GO:0005515,GO:0000413,GO:0003755
OG0005200	GO:0031267,GO:0030833
OG0004315	GO:0008237,GO:0004222,GO:0006508,GO:0030198,GO:0031012
OG0003372	GO:0003924,GO:0007186,GO:0007266,GO:0001664,GO:0019001,GO:0031683,GO:0007165,GO:0031526,GO:0005737,GO:0005834,GO:0031752,GO:0007188
OG0003451	GO:0005737,GO:0016020,GO:0034975
OG0004308	GO:0003714,GO:0005634,GO:0045892
OG0004243	GO:0004521,GO:0090304
OG0003516	GO:0005576,GO:0007275,GO:0016055,GO:0005102,GO:0005109,GO:0005125,GO:0005615,GO:0030182,GO:0045165,GO:0060070
OG0003523	GO:0005737
OG0005042	GO:0022857,GO:0055085,GO:0008028,GO:0015718
OG0003293	GO:0000978,GO:0000981,GO:0006357,GO:0046983
OG0005107	GO:0003999,GO:0005737,GO:0006168,GO:0002055,GO:0016208,GO:0044209
OG0003452	GO:0008757
OG0003517	GO:0060070,GO:0005102,GO:0005576,GO:0007275,GO:0016055,GO:0005109,GO:0005125,GO:0005615,GO:0030182,GO:0045165
OG0003366	GO:0003712,GO:0006357,GO:0016592
OG0003524	GO:0005829,GO:0047134
OG0003294	GO:0005515,GO:0004725,GO:0006470,GO:0016311
OG0005122	GO:0006004,GO:0004560,GO:0005975,GO:0005764,GO:0016139
OG0006000	GO:0003785,GO:0005634,GO:0030027,GO:0030425,GO:0030833,GO:0032433,GO:0048813,GO:0051015,GO:0051489
OG0004244	GO:0005737,GO:0005515
OG0005050	GO:0005515,GO:0005770,GO:0006623,GO:0030897,GO:0034058
OG0003380	GO:0005634,GO:0042254,GO:0000462,GO:0000479,GO:0003924,GO:0005525,GO:0030688,GO:0034511
OG0003610	GO:0005739,GO:0006605,GO:0017022,GO:0031410,GO:0047496,GO:0048311
OG0005108	GO:0008146,GO:0016020,GO:0016051
OG0004079	GO:0006099,GO:0000287,GO:0016616,GO:0051287,GO:0005739,GO:0006102
OG0005036	GO:0005576,GO:0008061
OG0004237	GO:0005484,GO:0005783,GO:0006890,GO:0031201
OG0005043	GO:0005789,GO:0016266,GO:0035252,GO:0140560,GO:0016757
OG0003438	GO:0005515,GO:0035091,GO:0043130,GO:0033565,GO:0043328
OG0003445	GO:0005515,GO:0005634,GO:0005737,GO:0007165,GO:0019901,GO:0031588
OG0004251	GO:0006355,GO:0005634
OG0003531	GO:0000127,GO:0001002,GO:0001003,GO:0006384
OG0004086	GO:0008422,GO:0004348,GO:0006680,GO:0016020,GO:0005975,GO:0004553
OG0004402	GO:0009653
OG0003359	GO:0005096,GO:0090630
OG0003287	GO:0005515,GO:0005680,GO:0031145,GO:0034399,GO:0070979
OG0005201	GO:0005509,GO:0005515,GO:0007219,GO:0016020,GO:0030154,GO:0050793,GO:0005886,GO:0007411,GO:0007275,GO:0009986,GO:0043235
OG0004165	GO:0005634,GO:0008168,GO:0003676,GO:0032259
OG0003603	GO:0004252,GO:0006508
OG0005029	GO:0000151,GO:0031624,GO:0032182,GO:0045116,GO:0097602
OG0004158	GO:0006888,GO:0006906,GO:0012505,GO:0031201,GO:0048278,GO:0005484,GO:0006886,GO:0016020,GO:0016192,GO:0000139,GO:0000149
OG0004309	GO:0005634
OG0004172	GO:0048488
OG0004403	GO:0006486,GO:0008375,GO:0003827,GO:0005794,GO:0006487
OG0005051	GO:0005739,GO:0005747
OG0003446	GO:1905515,GO:0016192
OG0003453	GO:0016020,GO:0005283,GO:0005886,GO:0006865,GO:0035725,GO:0071705,GO:0089718
OG0005116	GO:0022857,GO:0055085,GO:0016020
OG0004245	GO:0008299,GO:0004161,GO:0004337,GO:0005737,GO:0016765,GO:0045337,GO:0004659
OG0004324	GO:0006412,GO:0003735,GO:0005840,GO:0019843,GO:0005762,GO:0032543
OG0005044	GO:0016020,GO:0003824,GO:0006518,GO:0005576,GO:0005515
OG0004173	GO:0004103,GO:0004305,GO:0005737,GO:0006646,GO:0006656,GO:0006657
OG0003288	GO:0003697,GO:0006260,GO:0006264,GO:0009295,GO:0042645,GO:0051096
OG0003604	GO:0003824,GO:0009058,GO:0004306,GO:0005737,GO:0006646
OG0003532	GO:0005524,GO:0006139,GO:0019205
OG0004317	GO:0046982,GO:0005634,GO:0006261,GO:0008622
OG0003611	GO:0140658,GO:0005524,GO:0000785,GO:0003677,GO:0003682,GO:0005634,GO:0006338,GO:0016887,GO:0034728,GO:0042393
OG0005109	GO:0016020,GO:0005044,GO:0005737
OG0003367	GO:0003723,GO:0005515,GO:0000398,GO:0071013
OG0004252	GO:0003924,GO:0005525,GO:0007186,GO:0007188,GO:0031683,GO:0019001,GO:0001664,GO:0007165,GO:0005737,GO:0005834
OG0004180	GO:0043653,GO:0005515,GO:0000266,GO:0000422,GO:0005741,GO:0005778,GO:0016559
OG0004331	GO:0005515,GO:0005615
